tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
2.666,1451.0,508.5,11.7679200113258,4.124043642838848,3.58,2.15,-19.09,9.39,3.2901284341075634,-0.18370444434243005
2.7,1466.0,517.5,11.889573216129303,4.197035565720952,2.95,2.46,0.0,-3.94,3.2840068331237444,-0.18319936854384689
2.733,1478.0,527.5,11.986895779972109,4.278137702256622,2.95,2.33,-44.71,-5.29,3.277902417467342,-0.18286617180474007
2.766,1490.0,537.0,12.084218343814914,4.355184731965509,1.43,2.15,1.21,-1.82,3.271809459680454,-0.18270484185303593
2.8,1496.0,546.0,12.132879625736315,4.428176654847612,1.47,2.09,-22.12,-18.79,3.2657222323051776,-0.18271536641666042
2.833,1502.0,554.5,12.181540907657718,4.497113470902932,0.74,1.47,-14.71,-8.24,3.2596350078836087,-0.18289773322353997
2.866,1505.0,560.5,12.20587154861842,4.545774752824335,0.24,1.19,0.3,-28.48,3.2535420589578457,-0.18325193000160056
2.9,1506.0,565.5,12.213981762271986,4.586325821092171,0.25,0.25,0.0,-11.21,3.247437658069984,-0.1837779444787685
2.933,1507.0,566.5,12.222091975925554,4.594436034745737,0.25,-0.12,-0.29,-24.41,3.2413160777621215,-0.18447576438296986
2.966,1508.0,566.0,12.23020218957912,4.590380927918954,0.24,-0.95,15.15,-4.85,3.235171590576355,-0.18534537744213075
3.0,1509.0,562.0,12.238312403232689,4.557940073304685,0.74,-1.11,7.27,-22.12,3.228998469054782,-0.18638677138417759
3.033,1512.0,557.5,12.26264304419339,4.521444111863634,0.98,-1.84,27.35,-2.06,3.2227909857394987,-0.18759993393703622
3.066,1516.0,550.0,12.295083898807658,4.460617509461881,1.91,-1.91,1.82,-12.73,3.2165434131726016,-0.18898485282858526
3.1,1524.0,542.0,12.359965608036193,4.395735800233345,1.97,-2.33,29.7,0.0,3.210250023896189,-0.19054151578689404
3.133,1532.0,532.5,12.42484731726473,4.318688770524457,2.95,-2.33,14.85,0.0,3.2039050904523565,-0.1922699105397454
3.166,1544.0,523.0,12.522169881107535,4.24164174081557,3.44,-2.33,11.18,19.41,3.1975028853832024,-0.19417002481511358
3.199,1558.0,513.5,12.635712872257471,4.164594711106683,3.82,-1.67,10.91,6.06,3.1910376812308225,-0.19624184634092445
3.233,1574.0,506.5,12.765476290714547,4.107823215531714,4.18,-1.47,14.85,14.85,3.1845037505373144,-0.1984853628451042
3.266,1591.0,500.5,12.903349922825186,4.059161933610311,4.67,-0.98,2.94,25.29,3.1778953658447753,-0.20090056205557916
3.299,1610.0,496.5,13.05744398224296,4.026721078996044,4.77,-0.12,4.55,14.85,3.1712067996953013,-0.2034874317002754
3.333,1630.0,496.0,13.219648255314302,4.02266597216926,4.92,0.37,-15.15,26.06,3.1644323246309902,-0.20624595950711921
3.366,1650.0,497.5,13.381852528385645,4.034831292649611,4.42,1.23,-3.82,-1.18,3.157566213193938,-0.20917613320403627
3.399,1668.0,502.5,13.52783637414985,4.0753823609174455,4.29,1.19,-10.91,27.27,3.150602737926243,-0.21227794051895343
3.433,1686.0,507.5,13.673820219914056,4.115933429185281,3.93,2.09,-14.85,0.0,3.143536171370001,-0.21555136917979645
3.466,1702.0,516.0,13.80358363837113,4.184870245240601,3.44,2.09,-37.94,1.76,3.1363607860673097,-0.21899640691449151
3.499,1716.0,524.5,13.917126629521068,4.253807061295921,2.15,2.15,1.82,13.03,3.1290708545602652,-0.22261304145096505
3.533,1725.0,533.5,13.990118552403173,4.3267989841780246,2.21,2.58,-22.42,-22.42,3.1216606493909653,-0.22640126051714282
3.566,1734.0,544.0,14.063110475285276,4.411956227540479,1.47,1.84,-8.24,-5.0,3.114124443101507,-0.23036105184095135
