tiempo,posicion,velocidad,aceleracion,fuerza_viscosa
2.5594501718213056,9.21,2.46313370255858,-0.3687245949127318,-29.13
2.5931271477663227,9.29,2.450699899034137,-0.3662250710418149,-28.93
2.62680412371134,9.38,2.4383504321514775,-0.36372558578613373,-28.73
2.6604810996563573,9.46,2.4260853042609654,-0.36122613767943024,-28.54
2.6941580756013743,9.54,2.413904517712965,-0.3587267252554464,-28.34
2.727835051546392,9.62,2.4018080748578403,-0.35622734704792414,-28.14
2.761512027491409,9.7,2.3897959780459557,-0.3537280015906055,-27.94
2.795189003436426,9.78,2.3778682296276745,-0.35122868741723234,-27.75
2.828865979381443,9.86,2.3660248319533617,-0.3487294030615467,-27.55
2.8625429553264605,9.94,2.3542657873733805,-0.34623014705729055,-27.35
2.8962199312714776,10.02,2.3425910982380955,-0.34373091793820587,-27.15
2.9298969072164947,10.1,2.331000766897871,-0.34123171423803456,-26.96
2.9635738831615117,10.18,2.3194947957030707,-0.33873253449051854,-26.76
2.997250859106529,10.26,2.3080731870040587,-0.33623337722939994,-26.56
3.0309278350515463,10.34,2.2967359431511993,-0.3337342409884206,-26.37
3.0646048109965633,10.41,2.285483066494856,-0.3312351243013225,-26.17
3.0982817869415804,10.49,2.2743145593853935,-0.3287360257018477,-25.97
3.131958762886598,10.57,2.2632304241731758,-0.3262369437237381,-25.77
3.165635738831615,10.64,2.2522306632085667,-0.32373787690073563,-25.58
3.199312714776632,10.72,2.24131527884193,-0.3212388237665823,-25.38
3.2329896907216495,10.79,2.230484273423631,-0.31873978285515525,-25.18
3.2666666666666666,10.87,2.2197376493040326,-0.31624075269979096,-24.98
3.3003436426116837,10.94,2.209075408833499,-0.31374173183463683,-24.79
3.3340206185567007,11.02,2.198497554362395,-0.3112427187932997,-24.59
3.3676975945017182,11.09,2.1880040882410836,-0.3087437121095215,-24.39
3.4013745704467353,11.17,2.17759501281993,-0.3062447103170443,-24.19
3.4350515463917524,11.24,2.1672703304492975,-0.30374571194961,-24.0
3.4687285223367694,11.31,2.1570300434795504,-0.3012467155409605,-23.8
3.502405498281787,11.39,2.1468741542610523,-0.2987477196248378,-23.6
3.536082474226804,11.46,2.1368026651441685,-0.296248722734984,-23.4
3.569759450171821,11.53,2.1268155784792624,-0.2937497234051409,-23.21
3.603436426116838,11.6,2.1169128966166975,-0.2912507201690505,-23.01
3.6371134020618556,11.67,2.1070946219068385,-0.28875171156045487,-22.81
3.6707903780068727,11.74,2.0973607567000494,-0.2862526961130959,-22.61
3.7044673539518898,11.81,2.0877113033466945,-0.2837536723607155,-22.42
3.738144329896907,11.88,2.0781462641971373,-0.2812546388370557,-22.22
3.7718213058419243,11.95,2.0686656416017426,-0.27875559407585854,-22.02
3.8054982817869414,12.02,2.059269437910874,-0.27625653661086585,-21.82
3.8391752577319584,12.09,2.0499576554748953,-0.27375746497581965,-21.63
3.872852233676976,12.16,2.0407302966441714,-0.27125837770446193,-21.43
3.906529209621993,12.23,2.0315873637690656,-0.2687592733305346,-21.23
3.94020618556701,12.3,2.0225288591999417,-0.26626015038777967,-21.03
