energia_cinetica_traslacion,energia_cinetica_rotacion,energia_cinetica_total,trabajo_traslacion_instantaneo,trabajo_rotacion_instantaneo,trabajo_total_instantaneo,potencia_traslacion,potencia_rotacion,potencia_total
225.23,1.23,226.46,-1.85,-0.02,-1.86,0.39,0.0,0.39
223.39,1.22,224.61,-1.83,-0.02,-1.84,0.39,0.0,0.39
221.55,1.21,222.76,-1.82,-0.02,-1.83,0.39,0.0,0.38
219.73,1.2,220.93,-1.81,-0.02,-1.82,0.38,0.0,0.38
217.93,1.19,219.12,-1.79,-0.02,-1.8,0.38,0.0,0.38
216.13,1.18,217.32,-1.78,-0.02,-1.79,0.38,0.0,0.38
214.35,1.18,215.53,-1.77,-0.02,-1.78,0.38,0.0,0.38
212.58,1.17,213.75,-1.76,-0.02,-1.77,0.38,0.0,0.37
210.82,1.16,211.98,-1.74,-0.02,-1.75,0.37,0.0,0.37
209.08,1.15,210.23,-1.73,-0.02,-1.74,0.37,0.0,0.37
207.35,1.14,208.49,-1.72,-0.02,-1.73,0.37,0.0,0.37
205.63,1.13,206.77,-1.71,-0.02,-1.72,0.37,0.0,0.37
203.93,1.13,205.05,-1.69,-0.02,-1.7,0.37,0.0,0.36
202.23,1.12,203.35,-1.68,-0.02,-1.69,0.36,0.0,0.36
200.55,1.11,201.66,-1.67,-0.02,-1.68,0.36,0.0,0.36
198.88,1.1,199.98,-1.66,-0.02,-1.67,0.36,0.0,0.36
197.22,1.09,198.32,-1.64,-0.02,-1.66,0.36,0.0,0.36
195.58,1.09,196.67,-1.63,-0.02,-1.64,0.36,0.0,0.35
193.95,1.08,195.02,-1.62,-0.02,-1.63,0.35,0.0,0.35
192.33,1.07,193.4,-1.61,-0.02,-1.62,0.35,0.0,0.35
190.72,1.06,191.78,-1.6,-0.02,-1.61,0.35,0.0,0.35
189.12,1.06,190.18,-1.59,-0.02,-1.6,0.35,0.0,0.35
187.53,1.05,188.58,-1.57,-0.02,-1.59,0.35,0.0,0.34
185.96,1.04,187.0,-1.56,-0.02,-1.57,0.35,0.0,0.34
184.4,1.03,185.43,-1.55,-0.02,-1.56,0.34,0.0,0.34
182.85,1.03,183.87,-1.54,-0.02,-1.55,0.34,0.0,0.34
181.31,1.02,182.33,-1.53,-0.02,-1.54,0.34,0.0,0.34
179.78,1.01,180.79,-1.52,-0.02,-1.53,0.34,0.0,0.34
178.27,1.0,179.27,-1.5,-0.02,-1.52,0.34,0.0,0.33
176.76,1.0,177.76,-1.49,-0.02,-1.51,0.33,0.0,0.33
175.27,0.99,176.26,-1.48,-0.02,-1.49,0.33,0.0,0.33
173.79,0.98,174.77,-1.47,-0.02,-1.48,0.33,0.0,0.33
172.32,0.98,173.29,-1.46,-0.02,-1.47,0.33,0.0,0.33
170.86,0.97,171.82,-1.45,-0.02,-1.46,0.33,0.0,0.33
169.41,0.96,170.37,-1.44,-0.02,-1.45,0.32,0.0,0.32
167.97,0.95,168.92,-1.43,-0.02,-1.44,0.32,0.0,0.32
166.54,0.95,167.49,-1.42,-0.02,-1.43,0.32,0.0,0.32
165.13,0.94,166.07,-1.41,-0.02,-1.42,0.32,0.0,0.32
163.72,0.93,164.66,-1.39,-0.02,-1.41,0.32,0.0,0.32
162.33,0.93,163.25,-1.38,-0.02,-1.4,0.32,0.0,0.32
160.94,0.92,161.86,-1.37,-0.02,-1.39,0.31,0.0,0.31
159.57,0.91,160.48,-1.36,-0.02,-1.38,0.31,0.0,0.31
158.21,0.91,159.12,-1.35,-0.02,-1.36,0.31,0.0,0.31
156.86,0.9,157.76,-1.34,-0.02,-1.35,0.31,0.0,0.31
155.51,0.89,156.41,-1.33,-0.02,-1.34,0.31,0.0,0.31
154.18,0.89,155.07,-1.32,-0.02,-1.33,0.31,0.0,0.31
152.86,0.88,153.74,-1.31,-0.02,-1.32,0.3,0.0,0.3
151.55,0.87,152.43,-1.3,-0.02,-1.31,0.3,0.0,0.3
150.25,0.87,151.12,-1.29,-0.02,-1.3,0.3,0.0,0.3
148.96,0.86,149.82,-1.28,-0.02,-1.29,0.3,0.0,0.3
147.68,0.86,148.54,-1.27,-0.02,-1.28,0.3,0.0,0.3
146.41,0.85,147.26,-1.26,-0.02,-1.27,0.29,0.0,0.3
145.15,0.84,145.99,-1.25,-0.02,-1.26,0.29,0.0,0.3
143.9,0.84,144.74,-1.24,-0.02,-1.25,0.29,0.0,0.29
142.66,0.83,143.49,-1.23,-0.02,-1.24,0.29,0.0,0.29
141.43,0.82,142.25,-1.22,-0.02,-1.23,0.29,0.0,0.29
140.21,0.82,141.02,-1.21,-0.02,-1.22,0.29,0.0,0.29
138.99,0.81,139.81,-1.2,-0.02,-1.21,0.28,0.0,0.29
137.79,0.81,138.6,-1.19,-0.02,-1.2,0.28,0.0,0.29
136.6,0.8,137.4,-1.18,-0.02,-1.19,0.28,0.0,0.28
135.42,0.79,136.21,-1.17,-0.02,-1.18,0.28,0.0,0.28
134.25,0.79,135.03,-1.16,-0.02,-1.18,0.28,0.0,0.28
133.08,0.78,133.86,-1.15,-0.02,-1.17,0.28,0.0,0.28
131.93,0.78,132.7,-1.15,-0.02,-1.16,0.27,0.0,0.28
130.78,0.77,131.55,-1.14,-0.02,-1.15,0.27,0.0,0.28
129.65,0.76,130.41,-1.13,-0.02,-1.14,0.27,0.0,0.28
128.52,0.76,129.28,-1.12,-0.02,-1.13,0.27,0.0,0.28
127.4,0.75,128.15,-1.11,-0.02,-1.12,0.27,0.0,0.27
126.29,0.75,127.04,-1.1,-0.02,-1.11,0.27,0.0,0.27
125.19,0.74,125.93,-1.09,-0.02,-1.1,0.26,0.0,0.27
124.1,0.74,124.84,-1.08,-0.02,-1.09,0.26,0.0,0.27
123.02,0.73,123.75,-1.07,-0.02,-1.08,0.26,0.0,0.27
121.95,0.72,122.67,-1.06,-0.02,-1.07,0.26,0.0,0.27
120.88,0.72,121.6,-1.06,-0.02,-1.06,0.26,0.0,0.27
119.83,0.71,120.54,-1.05,-0.02,-1.06,0.26,0.0,0.26
118.78,0.71,119.49,-1.04,-0.02,-1.05,0.26,0.0,0.26
117.74,0.7,118.44,-1.03,-0.02,-1.04,0.25,0.0,0.26
116.71,0.7,117.41,-1.02,-0.02,-1.03,0.25,0.0,0.26
115.69,0.69,116.38,-1.01,-0.02,-1.02,0.25,0.0,0.26
114.68,0.68,115.36,-1.0,-0.02,-1.01,0.25,0.0,0.26
113.68,0.68,114.35,-1.0,-0.02,-1.0,0.25,0.0,0.26
112.68,0.67,113.35,-0.99,-0.02,-0.99,0.25,0.0,0.26
111.69,0.67,112.36,-0.98,-0.02,-0.99,0.24,0.0,0.25
110.71,0.66,111.37,-0.97,-0.02,-0.98,0.24,0.0,0.25
109.74,0.66,110.4,-0.96,-0.02,-0.97,0.24,0.0,0.25
108.78,0.65,109.43,-0.95,-0.02,-0.96,0.24,0.0,0.25
107.83,0.64,108.47,-0.95,-0.02,-0.95,0.24,0.0,0.25
